CustomerID,CustomerName,LoyaltyTier,JoinDate,HomeCity,HomeStateCode,PreferredStoreID
C00001,Saskia Pemberton,Summit,2024-07-24,Fort Collins,CO,ST018
C00002,Callum Zielinski,Summit,2020-10-09,Tacoma,WA,ST003
C00003,Yara Barros,Trailhead,2023-02-25,Bend,OR,ST004
C00004,Imani Ellery,Trailhead,2024-03-17,Denver,CO,ST010
C00005,Mateo Yardley,Trailhead,2021-10-28,Reno,NV,ST015
C00006,Theo Vasquez,None,2022-11-22,Sacramento,CA,ST013
C00007,Saskia Kowalski,Summit,2020-06-22,Bozeman,MT,ST004
C00008,Callum Ashworth,None,2022-03-25,Boulder,CO,ST003
C00009,Mateo Yardley,Trailhead,2021-09-01,Spokane,WA,ST009
C00010,Lucian Ibarra,Alpine,2024-03-04,Fort Collins,CO,ST007
C00011,Greta Grimshaw,Trailhead,2021-10-13,Reno,NV,ST012
C00012,Noor Kowalski,Trailhead,2021-03-09,Eugene,OR,ST001
C00013,Nadia Whitfield,Trailhead,2020-02-16,Eugene,OR,ST013
C00014,Mateo Thorne,Trailhead,2021-01-16,Bozeman,MT,ST018
C00015,Greta Ibarra,None,2021-07-10,Park City,UT,ST008
C00016,Noor Delacroix,None,2024-03-02,Portland,OR,ST002
C00017,Nadia Pemberton,Trailhead,2022-10-09,Spokane,WA,ST001
C00018,Priya Halvorsen,None,2022-05-05,Bend,OR,ST001
C00019,Ravi Yardley,Summit,2022-09-13,Boise,ID,ST013
C00020,Ravi Yardley,None,2021-05-07,Boulder,CO,ST008
C00021,Amara Pemberton,Summit,2024-09-07,Eugene,OR,ST011
C00022,Soren Yardley,Trailhead,2021-11-29,Seattle,WA,ST005
C00023,Imani Delacroix,None,2023-04-30,Missoula,MT,ST010
C00024,Saskia Hollis,None,2024-01-11,Reno,NV,ST011
C00025,Felix Grimshaw,None,2021-05-13,Boulder,CO,ST015
C00026,Beatrix Whitfield,Summit,2023-03-08,Bend,OR,ST017
C00027,Saskia Halvorsen,None,2023-06-06,Boulder,CO,ST002
C00028,Marcus Grimshaw,Trailhead,2021-08-23,Sacramento,CA,ST018
C00029,Mateo Yardley,Trailhead,2022-10-27,Boulder,CO,ST002
C00030,Greta Ashworth,None,2024-05-16,Flagstaff,AZ,ST006
C00031,Emrys Kowalski,Summit,2023-02-27,Seattle,WA,ST001
C00032,Callum Ashworth,Summit,2024-11-27,Denver,CO,ST005
C00033,Greta Kowalski,Trailhead,2023-11-26,Boulder,CO,ST009
C00034,Felix Ibarra,Summit,2021-12-15,Coeur d'Alene,ID,ST018
C00035,Emrys Nakamura,None,2023-11-30,Flagstaff,AZ,ST018
C00036,Noor Pemberton,Summit,2024-02-03,Portland,OR,ST008
C00037,Theo Rasmussen,Summit,2020-08-27,Eugene,OR,ST009
C00038,Callum Vasquez,Trailhead,2023-05-21,Spokane,WA,ST016
C00039,Hugo Wexford,Summit,2023-02-18,Bozeman,MT,ST012
C00040,Hugo Thorne,None,2020-01-30,Portland,OR,ST005
C00041,Noor Ashworth,None,2022-10-04,Denver,CO,ST007
C00042,Theo Lindqvist,Summit,2022-10-09,Bozeman,MT,ST017
C00043,Saskia Zielinski,Summit,2022-08-22,Tacoma,WA,ST017
C00044,Sana Grimshaw,Trailhead,2021-11-27,Bozeman,MT,ST012
C00045,Hugo Barros,None,2022-02-21,Bend,OR,ST015
C00046,Soren Ferreira,Alpine,2023-01-14,Park City,UT,ST007
C00047,Freya Ellery,Trailhead,2023-09-14,Portland,OR,ST008
C00048,Noor Nakamura,Summit,2021-11-08,Missoula,MT,ST003
C00049,Felix Lindqvist,Alpine,2024-02-07,Bozeman,MT,ST004
C00050,Greta Thorne,None,2023-06-07,Seattle,WA,ST004
C00051,Hugo Ellery,None,2022-09-29,Boise,ID,ST018
C00052,Beatrix Marchetti,Trailhead,2022-06-03,Flagstaff,AZ,ST004
C00053,Imani Wexford,Summit,2021-09-15,Boulder,CO,ST016
C00054,Sana Sandoval,Summit,2023-02-15,Tacoma,WA,ST010
C00055,Emrys Nakamura,Summit,2021-05-22,Salt Lake City,UT,ST016
C00056,Amara Zielinski,None,2021-11-12,Tacoma,WA,ST018
C00057,Sana Ferreira,None,2023-03-13,Fort Collins,CO,ST007
C00058,Beatrix Pemberton,Summit,2022-05-08,Portland,OR,ST011
C00059,Diego Ashworth,None,2022-03-11,Seattle,WA,ST006
C00060,Kenji Ashworth,Trailhead,2024-06-27,Seattle,WA,ST010
C00061,Saskia Ellery,Summit,2021-03-23,Tacoma,WA,ST001
C00062,Yara Wexford,Summit,2020-02-14,Flagstaff,AZ,ST003
C00063,Alina Okonkwo,None,2021-04-20,Portland,OR,ST002
C00064,Sana Delacroix,Alpine,2024-04-10,Sacramento,CA,ST007
C00065,Soren Ibarra,Trailhead,2023-10-20,Seattle,WA,ST006
C00066,Yara Barros,None,2023-12-22,Bozeman,MT,ST004
C00067,Noor Whitfield,Trailhead,2020-04-08,Coeur d'Alene,ID,ST017
C00068,Tobias Rasmussen,Trailhead,2024-09-18,Park City,UT,ST014
C00069,Lucian Lindqvist,None,2024-03-31,Boulder,CO,ST013
C00070,Amara Lindqvist,None,2022-08-19,Seattle,WA,ST006
C00071,Sana Ashworth,None,2023-04-01,Sacramento,CA,ST007
C00072,Callum Zielinski,Trailhead,2024-06-25,Seattle,WA,ST001
C00073,Rosa Whitfield,Trailhead,2022-07-26,Flagstaff,AZ,ST012
C00074,Felix Lindqvist,Summit,2020-07-13,Park City,UT,ST002
C00075,Hugo Okonkwo,None,2024-12-25,Boulder,CO,ST003
C00076,Theo Kowalski,Summit,2023-09-21,Reno,NV,ST012
C00077,Elena Hollis,None,2024-05-01,Denver,CO,ST012
C00078,Theo Kowalski,Summit,2020-12-31,Sacramento,CA,ST007
C00079,Alina Ellery,Summit,2021-03-31,Denver,CO,ST013
C00080,Hugo Yardley,Trailhead,2023-12-08,Bend,OR,ST009
C00081,Beatrix Kowalski,Trailhead,2024-06-16,Eugene,OR,ST016
C00082,Marcus Sandoval,None,2022-08-23,Seattle,WA,ST006
C00083,Amara Nakamura,Trailhead,2021-03-20,Boise,ID,ST017
C00084,Lucian Ibarra,Summit,2024-06-26,Portland,OR,ST001
C00085,Noor Grimshaw,Trailhead,2024-11-15,Seattle,WA,ST008
C00086,Ravi Thorne,Summit,2021-10-25,Seattle,WA,ST014
C00087,Rosa Ellery,None,2021-03-14,Missoula,MT,ST013
C00088,Diego Ibarra,None,2024-11-05,Flagstaff,AZ,ST008
C00089,Elias Thorne,Trailhead,2020-10-04,Portland,OR,ST014
C00090,Alina Grimshaw,None,2021-09-01,Salt Lake City,UT,ST010
C00091,Mateo Hollis,Alpine,2022-03-30,Spokane,WA,ST012
C00092,Lucian Sandoval,Trailhead,2023-10-04,Tacoma,WA,ST016
C00093,Emrys Hollis,None,2021-10-16,Spokane,WA,ST009
C00094,Yara Kowalski,Summit,2020-12-07,Reno,NV,ST003
C00095,Elena Grimshaw,Summit,2024-04-23,Seattle,WA,ST016
C00096,Lucian Grimshaw,Trailhead,2022-12-09,Bozeman,MT,ST012
C00097,Nadia Ellery,Summit,2021-09-07,Eugene,OR,ST003
C00098,Hugo Delacroix,None,2020-11-15,Boise,ID,ST001
C00099,Kenji Lindqvist,Trailhead,2021-12-20,Fort Collins,CO,ST013
C00100,Callum Whitfield,None,2022-11-26,Boulder,CO,ST002
C00101,Soren Ellery,Summit,2023-07-17,Seattle,WA,ST008
C00102,Priya Rasmussen,Trailhead,2020-02-17,Salt Lake City,UT,ST005
C00103,Sana Thorne,Trailhead,2020-04-15,Boise,ID,ST006
C00104,Diego Hollis,Trailhead,2021-08-07,Coeur d'Alene,ID,ST013
C00105,Marcus Hollis,None,2023-10-05,Fort Collins,CO,ST010
C00106,Hugo Rasmussen,Trailhead,2024-09-12,Eugene,OR,ST012
C00107,Greta Ashworth,None,2021-12-29,Missoula,MT,ST005
C00108,Amara Barros,None,2022-11-01,Park City,UT,ST016
C00109,Yara Thorne,None,2021-06-24,Boise,ID,ST012
C00110,Sana Grimshaw,Trailhead,2020-10-01,Sacramento,CA,ST017
C00111,Ravi Okonkwo,Trailhead,2022-04-18,Sacramento,CA,ST005
C00112,Diego Lindqvist,None,2021-07-14,Boise,ID,ST015
C00113,Ravi Vasquez,Trailhead,2021-07-23,Flagstaff,AZ,ST012
C00114,Beatrix Vasquez,Alpine,2024-07-31,Denver,CO,ST002
C00115,Theo Grimshaw,None,2022-09-22,Missoula,MT,ST004
C00116,Beatrix Wexford,None,2022-01-09,Seattle,WA,ST009
C00117,Diego Rasmussen,Trailhead,2020-06-27,Coeur d'Alene,ID,ST010
C00118,Hugo Okonkwo,Trailhead,2024-01-14,Flagstaff,AZ,ST007
C00119,Nadia Delacroix,Trailhead,2022-01-03,Denver,CO,ST005
C00120,Ravi Sandoval,None,2024-07-06,Boise,ID,ST003
C00121,Hugo Pemberton,Trailhead,2024-07-28,Tacoma,WA,ST016
C00122,Otto Farrow,None,2021-11-28,Bend,OR,ST009
C00123,Elena Ashworth,None,2023-05-09,Salt Lake City,UT,ST012
C00124,Emrys Okonkwo,None,2023-09-11,Eugene,OR,ST004
C00125,Elias Marchetti,None,2023-07-05,Eugene,OR,ST005
C00126,Ravi Wexford,Trailhead,2022-03-17,Spokane,WA,ST002
C00127,Elias Yardley,None,2021-11-11,Sacramento,CA,ST006
C00128,Diego Nakamura,None,2020-05-26,Bend,OR,ST010
C00129,Marcus Marchetti,Trailhead,2024-01-11,Park City,UT,ST003
C00130,Otto Okonkwo,None,2021-12-30,Boise,ID,ST013
C00131,Freya Hollis,Summit,2020-06-18,Tacoma,WA,ST004
C00132,Alina Rasmussen,Trailhead,2021-09-26,Sacramento,CA,ST014
C00133,Otto Farrow,None,2020-04-19,Coeur d'Alene,ID,ST013
C00134,Priya Okonkwo,Trailhead,2021-12-23,Bozeman,MT,ST003
C00135,Saskia Zielinski,Summit,2022-10-07,Boise,ID,ST016
C00136,Leila Rasmussen,Trailhead,2020-03-14,Boulder,CO,ST001
C00137,Beatrix Okonkwo,Alpine,2020-08-01,Boulder,CO,ST006
C00138,Sana Barros,Summit,2021-12-08,Park City,UT,ST017
C00139,Kenji Lindqvist,None,2024-10-31,Tacoma,WA,ST015
C00140,Lucian Marchetti,Summit,2020-05-20,Fort Collins,CO,ST011
C00141,Sana Whitfield,Alpine,2020-02-20,Bend,OR,ST009
C00142,Kenji Ellery,Alpine,2022-01-04,Park City,UT,ST007
C00143,Alina Ellery,None,2022-11-26,Park City,UT,ST002
C00144,Diego Wexford,None,2023-04-18,Tacoma,WA,ST003
C00145,Tobias Vasquez,None,2022-02-04,Flagstaff,AZ,ST018
C00146,Amara Kowalski,None,2022-08-23,Portland,OR,ST012
C00147,Hugo Ibarra,None,2020-12-24,Tacoma,WA,ST015
C00148,Otto Barros,Alpine,2024-10-04,Reno,NV,ST006
C00149,Noor Nakamura,None,2023-09-20,Coeur d'Alene,ID,ST007
C00150,Marcus Vasquez,None,2023-07-25,Reno,NV,ST009
C00151,Saskia Yardley,None,2021-06-07,Park City,UT,ST008
C00152,Alina Farrow,Summit,2023-06-15,Sacramento,CA,ST016
C00153,Alina Kowalski,None,2022-12-16,Bend,OR,ST017
C00154,Otto Grimshaw,None,2024-05-30,Tacoma,WA,ST017
C00155,Soren Yardley,Trailhead,2020-05-08,Park City,UT,ST011
C00156,Saskia Barros,Summit,2024-12-19,Sacramento,CA,ST004
C00157,Callum Ibarra,Summit,2020-02-03,Portland,OR,ST016
C00158,Kenji Grimshaw,None,2020-09-02,Tacoma,WA,ST013
C00159,Noor Yardley,None,2021-11-15,Fort Collins,CO,ST018
C00160,Callum Rasmussen,Trailhead,2024-01-09,Sacramento,CA,ST018
C00161,Beatrix Thorne,Trailhead,2023-02-02,Denver,CO,ST009
C00162,Soren Marchetti,Trailhead,2024-08-12,Boise,ID,ST014
C00163,Imani Rasmussen,None,2021-09-25,Tacoma,WA,ST006
C00164,Nadia Vasquez,Summit,2020-12-30,Denver,CO,ST018
